Hydrogen,Methane,Ethane,Ethylene,Acetylene,Carbon Monoxide,Carbon Dioxide,Fault_Type,%CH4,%C2H4,%C2H2
4.0,4,1.0,11,0,1338,5393,4,26.666666666666668,73.33333333333333,0.0
8.0,2,3.0,0,0,345,1352,0,100.0,0.0,0.0
7.0,10,1.0,1,0,161,1193,3,90.9090909090909,9.090909090909092,0.0
9.0,3,0.0,0,0,380,2937,0,100.0,0.0,0.0
5.0,2,1.0,0,0,309,2238,0,100.0,0.0,0.0
11.0,4,1.0,0,0,262,2393,0,100.0,0.0,0.0
0.0,3,0.0,0,0,254,2816,0,100.0,0.0,0.0
6.0,1,0.0,0,0,173,1482,0,100.0,0.0,0.0
3.0,3,0.0,0,0,169,1348,0,100.0,0.0,0.0
6.0,1,0.0,0,0,173,1482,0,100.0,0.0,0.0
0.0,3,0.0,0,0,254,2816,0,100.0,0.0,0.0
11.0,4,1.0,0,0,262,2393,0,100.0,0.0,0.0
5.0,2,1.0,0,0,309,2238,0,100.0,0.0,0.0
9.0,3,0.0,0,0,380,2937,0,100.0,0.0,0.0
7.0,10,1.0,1,0,161,1193,3,90.9090909090909,9.090909090909092,0.0
8.0,2,3.0,0,0,345,1352,0,100.0,0.0,0.0
18.0,3,2.0,2,3,219,7030,1,37.5,25.0,37.5
17.0,3,0.0,1,9,404,6500,0,23.076923076923077,7.6923076923076925,69.23076923076923
0.0,2,0.0,3,2,93,1814,0,28.57142857142857,42.857142857142854,28.57142857142857
62.0,2,0.0,0,0,177,3856,0,100.0,0.0,0.0
62.0,2,0.0,0,0,177,3856,0,100.0,0.0,0.0
0.0,2,0.0,3,2,93,1814,0,28.57142857142857,42.857142857142854,28.57142857142857
17.0,3,0.0,1,9,404,6500,0,23.076923076923077,7.6923076923076925,69.23076923076923
18.0,3,2.0,2,3,219,7030,1,37.5,25.0,37.5
10.0,136,92.0,20,0,708,6205,2,87.17948717948718,12.82051282051282,0.0
5.0,66,103.0,7,0,630,4088,2,90.41095890410958,9.58904109589041,0.0
5.0,67,127.0,9,0,689,4481,2,88.1578947368421,11.842105263157894,0.0
7.0,95,135.0,8,0,581,5003,2,92.23300970873787,7.766990291262135,0.0
14.0,83,112.0,14,0,396,3959,2,85.56701030927834,14.432989690721648,0.0
0.0,69,102.0,5,0,235,4426,0,93.24324324324324,6.756756756756757,0.0
10.0,150,90.0,7,0,539,2236,2,95.54140127388536,4.45859872611465,0.0
10.0,166,112.0,8,0,404,2426,2,95.40229885057471,4.597701149425287,0.0
10.0,150,90.0,7,0,539,2236,2,95.54140127388536,4.45859872611465,0.0
0.0,69,102.0,5,0,235,4426,0,93.24324324324324,6.756756756756757,0.0
14.0,83,112.0,14,0,396,3959,2,85.56701030927834,14.432989690721648,0.0
7.0,95,135.0,8,0,581,5003,2,92.23300970873787,7.766990291262135,0.0
5.0,67,127.0,9,0,689,4481,2,88.1578947368421,11.842105263157894,0.0
5.0,66,103.0,7,0,630,4088,2,90.41095890410958,9.58904109589041,0.0
10.0,136,92.0,20,0,708,6205,2,87.17948717948718,12.82051282051282,0.0
10.0,77,239.0,14,0,142,8136,2,84.61538461538461,15.384615384615385,0.0
17.0,53,156.0,4,0,163,5059,2,92.98245614035088,7.017543859649122,0.0
17.0,74,147.0,4,0,167,5429,2,94.87179487179486,5.128205128205128,0.0
8.0,40,155.0,11,0,66,4206,2,78.43137254901961,21.568627450980394,0.0
0.0,36,140.0,4,0,59,5066,0,90.0,10.0,0.0
6.0,56,96.0,5,0,87,2269,2,91.80327868852459,8.19672131147541,0.0
8.0,41,68.0,3,0,64,2335,2,93.18181818181817,6.8181818181818175,0.0
6.0,56,96.0,5,0,87,2269,2,91.80327868852459,8.19672131147541,0.0
0.0,36,140.0,4,0,59,5066,0,90.0,10.0,0.0
8.0,40,155.0,11,0,66,4206,2,78.43137254901961,21.568627450980394,0.0
17.0,74,147.0,4,0,167,5429,2,94.87179487179486,5.128205128205128,0.0
17.0,53,156.0,4,0,163,5059,2,92.98245614035088,7.017543859649122,0.0
10.0,77,239.0,14,0,142,8136,2,84.61538461538461,15.384615384615385,0.0
5.0,2,0.0,9,5,280,1841,0,12.5,56.25,31.25
6.0,0,0.0,11,1,330,2006,0,0.0,91.66666666666666,8.333333333333332
0.0,2,0.0,13,0,167,1495,0,13.333333333333334,86.66666666666667,0.0
0.0,0,0.0,8,0,200,1739,0,0.0,100.0,0.0
6.0,1,0.0,12,0,275,1518,0,7.6923076923076925,92.3076923076923,0.0
6.0,2,0.0,8,0,146,864,0,20.0,80.0,0.0
6.0,1,0.0,12,0,275,1518,0,7.6923076923076925,92.3076923076923,0.0
0.0,0,0.0,8,0,200,1739,0,0.0,100.0,0.0
0.0,2,0.0,13,0,167,1495,0,13.333333333333334,86.66666666666667,0.0
6.0,0,0.0,11,1,330,2006,0,0.0,91.66666666666666,8.333333333333332
5.0,2,0.0,9,5,280,1841,0,12.5,56.25,31.25
26.0,2,5.0,1,0,148,1884,0,66.66666666666666,33.33333333333333,0.0
16.0,1,1.0,0,0,208,2295,0,100.0,0.0,0.0
0.0,0,0.0,1,0,61,1730,0,0.0,100.0,0.0
48.0,0,0.0,0,0,86,2435,0,0.0,0.0,0.0
19.0,1,0.0,0,0,84,987,0,100.0,0.0,0.0
13.0,2,0.0,1,0,87,1487,0,66.66666666666666,33.33333333333333,0.0
19.0,1,0.0,0,0,84,987,0,100.0,0.0,0.0
48.0,0,0.0,0,0,86,2435,0,0.0,0.0,0.0
0.0,0,0.0,1,0,61,1730,0,0.0,100.0,0.0
16.0,1,1.0,0,0,208,2295,0,100.0,0.0,0.0
26.0,2,5.0,1,0,148,1884,0,66.66666666666666,33.33333333333333,0.0
8.0,1,2.0,0,0,90,1091,0,100.0,0.0,0.0
4.0,1,2.0,0,0,101,1470,0,100.0,0.0,0.0
23.0,1,0.0,0,0,39,823,0,100.0,0.0,0.0
0.0,2,0.0,0,0,260,960,0,100.0,0.0,0.0
38.0,1,1.0,0,0,63,518,0,100.0,0.0,0.0
8.0,3,0.0,15,0,245,3532,0,16.666666666666664,83.33333333333334,0.0
0.0,0,0.0,10,0,275,4709,0,0.0,100.0,0.0
44.0,1,0.0,10,0,360,2354,0,9.090909090909092,90.9090909090909,0.0
94.0,2,0.0,6,0,186,1959,0,25.0,75.0,0.0
44.0,1,0.0,10,0,360,2354,0,9.090909090909092,90.9090909090909,0.0
0.0,0,0.0,10,0,275,4709,0,0.0,100.0,0.0
8.0,3,0.0,15,0,245,3532,0,16.666666666666664,83.33333333333334,0.0
5.0,35,116.0,13,0,72,5887,2,72.91666666666666,27.083333333333332,0.0
9.0,41,114.0,12,0,74,9306,2,77.35849056603774,22.641509433962266,0.0
2.0,50,91.0,7,0,91,6260,2,87.71929824561403,12.280701754385964,0.0
5.0,48,80.0,9,0,78,5612,2,84.21052631578947,15.789473684210526,0.0
4.0,33,97.0,19,0,42,4636,2,63.46153846153846,36.53846153846153,0.0
0.0,8,0.0,9,0,612,11833,0,47.05882352941176,52.94117647058824,0.0
4.0,40,54.0,8,0,41,2257,2,83.33333333333334,16.666666666666664,0.0
4.0,68,80.0,12,0,83,3419,2,85.0,15.0,0.0
4.0,40,54.0,8,0,41,2257,2,83.33333333333334,16.666666666666664,0.0
0.0,8,0.0,9,0,612,11833,0,47.05882352941176,52.94117647058824,0.0
4.0,33,97.0,19,0,42,4636,2,63.46153846153846,36.53846153846153,0.0
5.0,48,80.0,9,0,78,5612,2,84.21052631578947,15.789473684210526,0.0
2.0,50,91.0,7,0,91,6260,2,87.71929824561403,12.280701754385964,0.0
9.0,41,114.0,12,0,74,9306,2,77.35849056603774,22.641509433962266,0.0
5.0,35,116.0,13,0,72,5887,2,72.91666666666666,27.083333333333332,0.0
2.0,7,5.0,18,0,361,1299,3,28.000000000000004,72.0,0.0
6.0,58,9.0,29,0,540,2481,3,66.66666666666666,33.33333333333333,0.0
